id,title,genres,language,duration,description,director,rating,releaseDate,isActive,tags
1,Add series future,"Adventure, Horror, Action",Spanish,113,Adult his decision federal place work. Thus manage call able on.,Greta Gerwig,9.6,2022-05-24,true,"underdog, family, love"
2,Young,Adventure,English,95,Cultural cut piece window ahead determine. Whole seat until quality young national.,Ridley Scott,3.5,1985-12-26,true,"revenge, war"
3,Positive read why,"Thriller, Sci-Fi, Adventure",Japanese,145,Yes many enter everybody third.,Chloe Zhao,6.2,2003-04-14,true,space
4,Follow word best,"Adventure, Drama","Spanish, English",114,Rule clear executive successful throughout police late. Between treatment not hard note. Ability message simply available how shoulder marriage reach.,Denis Villeneuve,4.8,2011-12-08,true,"future, friendship"
5,Test worker choice word,Animation,Spanish,177,Sure her themselves amount reason country employee. Add you method produce only central similar skin. Machine so participant standard name court.,Steven Spielberg,6.4,1994-12-29,true,"coming-of-age, underdog"
6,Difficult,"Sci-Fi, Documentary, Romance",Japanese,98,Deal bar appear whose so important politics. Mind day article edge learn. Back country window reveal give president under.,Christopher Nolan,2.2,2005-03-31,true,"love, crime"
7,Front,Comedy,Spanish,144,Network drug suddenly hit. These able why method group rock board.,Martin Scorsese,8.5,1990-03-23,true,heist
8,Radio program,Action,"Japanese, Spanish",168,Across rise expect foot. Force eat occur certainly success issue. Especially view production respond realize.,Denis Villeneuve,2.3,2019-08-25,false,"future, mystery, crime"
9,My article treat,Sci-Fi,French,108,Course can four open blue south body benefit. Middle doctor economy region out.,Bong Joon-ho,8.7,1992-10-08,true,"space, time travel"
10,Up career quality,Comedy,"French, English",82,But stand include research. Might true suddenly art baby.,Ridley Scott,5.4,2018-09-09,true,dreams
11,Report despite,"Animation, Action, Adventure",Korean,85,Information often high word.,Steven Spielberg,3.7,1980-12-02,true,underdog
12,Would practice town cost,"Horror, Documentary, Drama","English, Mandarin",98,Hold film fall film hotel. Compare measure seek enough. Poor finish current purpose teacher number political garden.,James Cameron,7.7,2004-11-19,false,"crime, space"
13,Happen pass tough role,"Documentary, Horror, Comedy",English,147,Modern attention myself however. Weight man beat record make level.,Martin Scorsese,7.4,2005-04-14,true,"dreams, survival, heist"
14,Well strategy,Animation,"Japanese, Mandarin",155,Bag whatever glass leave thank meeting study themselves. Fund before find ground window happy. Interest east fish case low campaign figure enough.,Bong Joon-ho,5.0,1989-08-17,true,"love, underdog"
15,Look poor commercial,Animation,German,94,Production against choice away. Writer himself simple president during enjoy allow. Friend make send would each fact when tell.,Ridley Scott,9.9,1991-02-02,true,"space, war, mystery"
16,Return dinner,"Sci-Fi, Animation",French,121,This exactly assume administration. Both at interest strategy.,Ava DuVernay,2.0,2005-06-11,true,"family, friendship, war"
17,Base eat,Animation,"Korean, German",134,Question quality who he professional pay school. Whole age produce into scientist nor human. Partner save million last contain idea option.,Martin Scorsese,8.7,2022-09-03,false,"space, dreams"
18,Back deep,"Adventure, Comedy, Thriller","French, English",98,Real skill peace herself collection language idea.,Quentin Tarantino,4.6,1989-02-15,true,heist
19,North media,"Horror, Romance",German,95,Both black tell material answer we.,Martin Scorsese,8.5,2024-10-10,true,"mystery, revenge, coming-of-age"
20,Play campaign believe,"Thriller, Romance","German, Hindi",145,Sport win rule central what hard now. Dog response catch shake beat.,Greta Gerwig,2.3,2020-10-14,true,"war, underdog"
21,Discussion born,Drama,French,174,World school perform professor film film. Old always boy page money response.,Christopher Nolan,8.5,2024-09-08,true,love
22,Today social brother,"Romance, Drama, Sci-Fi",French,164,Total campaign old trial manager focus hard. Husband consider feeling decision thank rich few. Mrs woman represent scientist surface land speech.,Ridley Scott,5.7,2024-02-27,true,family
23,Positive market ten,"Adventure, Documentary, Sci-Fi","English, German",84,Ground really phone. Threat standard marriage election. Everything art safe stay similar.,Quentin Tarantino,8.9,1990-09-08,true,"coming-of-age, love"
